close,high,low,open
0.243,0.37,0.2261,0.34
0.21,0.323,0.199,0.243
0.24,0.24,0.14,0.21
0.2231,0.24,0.21,0.24
0.2682,0.29,0.223,0.2231
0.276,0.3,0.2683,0.2682
0.279,0.299,0.2702,0.276
0.2682,0.2828,0.2682,0.279
0.223,0.275,0.223,0.2682
0.2299,0.29,0.2116,0.223
0.2678,0.283,0.2221,0.2299
0.28,0.28,0.2682,0.2678
0.283,0.29,0.2682,0.28
0.2767,0.282,0.2763,0.283
0.2879,0.2879,0.269,0.2767
0.2829,0.2845,0.276,0.2879
0.283,0.283,0.2761,0.2829
0.28,0.2825,0.278,0.283
0.2844,0.289,0.2761,0.28
0.283,0.2844,0.2826,0.2844
0.27,0.2846,0.27,0.283
0.2299,0.279,0.2151,0.27
0.2082,0.2299,0.204,0.2299
0.2275,0.2299,0.2095,0.2082
0.255,0.2553,0.218,0.2275
0.251,0.2552,0.243,0.255
0.205,0.2589,0.205,0.251
0.19,0.235,0.19,0.205
0.204,0.225,0.1841,0.19
0.233,0.2477,0.1701,0.204
0.2388,0.24,0.22,0.233
0.2,0.233,0.1701,0.2388
0.204,0.204,0.1825,0.2
0.228,0.228,0.1907,0.204
0.22,0.2279,0.2068,0.228
0.2299,0.23,0.21,0.22
0.2467,0.2468,0.21,0.2299
0.238,0.246,0.238,0.2467
0.25,0.255,0.2222,0.238
0.24,0.249,0.24,0.25
0.241,0.2488,0.241,0.24
0.2401,0.2499,0.24,0.241
0.267,0.275,0.24,0.2401
0.24,0.267,0.24,0.267
0.25,0.25,0.244,0.24
0.25,0.25,0.241,0.25
0.248,0.25,0.242,0.25
0.2499,0.25,0.2475,0.248
0.265,0.27,0.2464,0.2499
0.265,0.27,0.251,0.265
0.281,0.281,0.2612,0.265
0.3,0.301,0.271,0.281
0.3,0.3,0.291,0.3
0.3,0.3,0.292,0.3
0.3,0.3,0.292,0.3
0.3,0.3,0.289,0.3
0.295,0.2999,0.29,0.3
0.2989,0.2999,0.289,0.295
0.299,0.299,0.29,0.2989
0.298,0.299,0.29,0.299
0.32,0.322,0.2975,0.298
0.3229,0.3229,0.309,0.32
0.323,0.323,0.3229,0.3229
0.3266,0.329,0.3175,0.323
0.3266,0.3266,0.3176,0.3266
0.3188,0.3557,0.318,0.3266
0.3176,0.405,0.3176,0.3188
0.4,0.45,0.3176,0.3176
0.386,0.4,0.385,0.4
0.3868,0.4,0.386,0.386
0.3495,0.3868,0.315,0.3868
0.313,0.3495,0.305,0.3495
0.313,0.313,0.305,0.313
0.39,0.39,0.31,0.313
0.4199,0.44,0.368,0.39
0.4443,0.4443,0.39,0.4199
0.4424,0.4443,0.42,0.4443
0.4199,0.4424,0.381,0.4424
0.41,0.425,0.4,0.4199
0.417,0.42,0.3904,0.41
0.4212,0.45,0.4085,0.417
0.446,0.446,0.4212,0.4212
0.439,0.445,0.43,0.446
0.4799,0.48,0.445,0.439
0.52,0.95,0.47,0.4799
0.7,0.85,0.5201,0.52
0.716,0.76,0.69,0.7
0.69,0.75,0.6501,0.716
0.811,0.88,0.67,0.69
0.92,0.92,0.8115,0.811
0.8997,0.92,0.83,0.92
0.89,0.9,0.83,0.8997
0.918,0.918,0.8617,0.89
1.09,1.09,0.82,0.918
0.9803,1.1,0.8,1.09
1.07,1.09,0.9264,0.9803
1.08,1.08,0.9906,1.07
1.05,1.08,1.02,1.08
1.07,1.08,1.033,1.05
1.05,1.085,1.035,1.07
1.045,1.05,1.02,1.05
1.04,1.05,1.02,1.045
0.8989,1.04,0.7801,1.04
0.949,0.98,0.8376,0.8989
0.85,0.949,0.83,0.949
0.8345,0.8796,0.8313,0.85
0.8702,0.95,0.8313,0.8345
0.9,0.945,0.8681,0.8702
0.9974,1,0.9,0.9
0.9111,0.9998,0.9111,0.9974
0.958,0.97,0.9106,0.9111
0.89,0.958,0.89,0.958
0.86,0.92,0.845,0.89
0.9202,0.97,0.8502,0.86
0.9399,0.94,0.9102,0.9202
0.9391,0.9399,0.91,0.9399
0.901,0.9391,0.9001,0.9391
0.9103,0.9189,0.8111,0.901
0.8999,0.9098,0.81,0.9103
0.885,0.909,0.846,0.8999
0.87,0.885,0.85,0.885
0.8645,0.87,0.85,0.87
0.9329,0.9329,0.8497,0.8645
0.88,0.925,0.8601,0.9329
0.918,0.9197,0.88,0.88
0.8925,0.918,0.8898,0.918
0.8949,0.9,0.88,0.8925
0.87,0.8949,0.87,0.8949
0.86,0.88,0.836,0.87
0.8254,0.88,0.81,0.86
0.8165,0.8506,0.71,0.8254
0.765,0.797,0.7313,0.8165
0.7411,0.79,0.7402,0.765
0.759,0.7724,0.7405,0.7411
0.809,0.81,0.7405,0.759
0.8497,0.85,0.78,0.809
0.8669,0.9,0.8266,0.8497
0.8838,0.89,0.861,0.8669
0.8552,0.905,0.841,0.8838
0.82,0.8721,0.8152,0.8552
0.799,0.85,0.76,0.82
0.7925,0.7997,0.7648,0.799
0.7897,0.795,0.766,0.7925
0.7846,0.801,0.768,0.7897
0.7741,0.797,0.7741,0.7846
0.782,0.7998,0.7741,0.7741
0.779,0.7949,0.777,0.782
0.68,0.785,0.5619,0.779
0.71,0.7478,0.58,0.68
0.74,0.75,0.6902,0.71
0.7538,0.7849,0.7205,0.74
0.75,0.799,0.7309,0.7538
0.73,0.7676,0.7205,0.75
0.7369,0.7589,0.71,0.73
0.77,0.799,0.7103,0.7369
0.86,0.899,0.7703,0.77
0.9225,1,0.86,0.86
1,1,0.91,0.9225
0.9899,1.09,0.911,1
1.05,1.095,0.9541,0.9899
1.112,1.14,1.026,1.05
1.162,1.2,1.11,1.112
1.198,1.198,1.144,1.162
1.142,1.198,1.13,1.198
1.21,1.21,1.14,1.142
1.409,1.41,1.189,1.21
1.7,1.95,1.32,1.409
1.63,1.95,1.6,1.7
1.559,1.701,1.521,1.63
1.795,1.795,1.53,1.559
1.9,1.95,1.72,1.795
2.211,2.65,1.66,1.9
2.88,2.95,2.21,2.211
3.5,4.15,2.75,2.88
3.033,3.87,2.5,3.5
3.2,3.495,3.029,3.033
3.41,3.49,3.11,3.2
3.406,3.58,3.25,3.41
3.333,3.45,3.333,3.406
3.45,3.61,3.29,3.333
3.641,3.7,3.425,3.45
3.866,3.937,3.63,3.641
3.8,3.9,3.691,3.866
5.81,5.99,3.81,3.8
5.5,6.065,4.6,5.81
6.3,6.49,5.22,5.5
8.198,8.45,6.32,6.3
7.198,8.9,5.83,8.198
6.987,7.78,6.2,7.198
8.034,8.5,6.75,6.987
7.19,8.389,6.98,8.034
6.88,7.5,6.6,7.19
6.805,7.34,6.607,6.88
5.59,7.1,5.577,6.805
6.12,6.52,5.577,5.59
6.69,6.759,5.99,6.12
7.15,7.45,6.69,6.69
7.42,7.51,6.96,7.15
8.4,9.33,7.216,7.42
8.798,8.987,8.01,8.4
8.5,8.83,8.5,8.798
8.3,8.7,8.11,8.5
8.43,8.49,8.102,8.3
8.8,9,8.25,8.43
8.741,9.5,8.1,8.8
9.57,9.699,8.3,8.741
10.6,10.89,9.5,9.57
14.29,14.5,10.58,10.6
18.89,18.89,14.04,14.29
16.7,19,16.2,18.89
18.55,19.23,16.45,16.7
23.92,24.32,18.26,18.55
29.6,31.91,22.21,23.92
28.92,31.5,26.15,29.6
23.95,29.4,20.01,28.92
14.65,23.99,13,23.95
18.55,24.99,10.25,14.65
19.84,24.5,16,18.55
19.28,20.5,18,19.84
19.49,20,19.02,19.28
17,19.89,17,19.49
15.68,18.34,13,17
16.89,16.95,15.05,15.68
17.51,18.88,16.85,16.89
16.45,17.51,14.01,17.51
16.75,18,15,16.45
16.95,17.52,16.5,16.75
16.85,17.2,16.67,16.95
16.1,17,15.73,16.85
15.4,16.74,15.26,16.1
15.4,15.8,15.27,15.4
15.44,15.69,15.31,15.4
13.86,15.49,13.14,15.44
12.91,15,11,13.86
14.78,16.5,12.67,12.91
14.78,15.9,14.5,14.78
14.31,15.64,13.9,14.78
14.38,14.7,14.02,14.31
14.9,15.68,14.35,14.38
14.21,15.2,13.8,14.9
14.01,14.64,13.9,14.21
13.95,14.15,13.91,14.01
13.99,14.07,13.7,13.95
13.81,14.09,13.5,13.99
13.72,13.81,13.5,13.81
13.16,13.75,13.02,13.72
13.48,13.92,12.51,13.16
13.85,14.7,13.44,13.48
13.69,14,13.4,13.85
13.61,13.78,13.4,13.69
13.7,13.81,13.45,13.61
13.68,13.76,13.51,13.7
13.98,14.1,13.6,13.68
14.05,14.72,13.76,13.98
13.88,14.05,13.77,14.05
13.94,14.13,13.85,13.88
13.49,13.94,13.31,13.94
13.5,13.7,13.33,13.49
13.53,13.63,13.45,13.5
13.35,14.9,12.83,13.53
13.09,13.55,12.85,13.35
