"date","weighted","close","high","low","open","volume"
"2010-11-07 19:11:00","0.32","0.243","0.37","0.2261","0.34","38339.26"
"2010-11-08 19:11:00","0.27","0.21","0.323","0.199","0.243","12808.3"
"2010-11-09 19:11:00","0.2","0.24","0.24","0.14","0.21","6110.13"
"2010-11-10 19:11:00","0.22","0.2231","0.24","0.21","0.24","1111.55"
"2010-11-11 19:11:00","0.26","0.2682","0.29","0.223","0.2231","10494.46"
"2010-11-12 19:11:00","0.29","0.276","0.3","0.2683","0.2682","6351.58"
"2010-11-13 19:11:00","0.28","0.279","0.299","0.2702","0.276","4793.81"
"2010-11-14 19:11:00","0.27","0.2682","0.2828","0.2682","0.279","2337.5"
"2010-11-15 19:11:00","0.25","0.223","0.275","0.223","0.2682","8609.67"
"2010-11-16 19:11:00","0.26","0.2299","0.29","0.2116","0.223","8662.61"
"2010-11-17 19:11:00","0.27","0.2678","0.283","0.2221","0.2299","10253.27"
"2010-11-18 19:11:00","0.27","0.28","0.28","0.2682","0.2678","583.45"
"2010-11-19 19:11:00","0.28","0.283","0.29","0.2682","0.28","4119.07"
"2010-11-20 19:11:00","0.28","0.2767","0.282","0.2763","0.283","212.67"
"2010-11-21 19:11:00","0.28","0.2879","0.2879","0.269","0.2767","7818.64"
"2010-11-22 19:11:00","0.28","0.2829","0.2845","0.276","0.2879","1361.82"
"2010-11-23 19:11:00","0.28","0.283","0.283","0.2761","0.2829","710.24"
"2010-11-24 19:11:00","0.28","0.28","0.2825","0.278","0.283","469.99"
"2010-11-25 19:11:00","0.28","0.2844","0.289","0.2761","0.28","9510.98"
"2010-11-26 19:11:00","0.28","0.283","0.2844","0.2826","0.2844","515.9"
"2010-11-27 19:11:00","0.28","0.27","0.2846","0.27","0.283","5746.3"
"2010-11-28 19:11:00","0.25","0.2299","0.279","0.2151","0.27","8802.06"
"2010-11-29 19:11:00","0.21","0.2082","0.2299","0.204","0.2299","4570.58"
"2010-11-30 19:11:00","0.21","0.2275","0.2299","0.2095","0.2082","1752.72"
"2010-12-01 19:12:00","0.24","0.255","0.2553","0.218","0.2275","4800.55"
"2010-12-02 19:12:00","0.25","0.251","0.2552","0.243","0.255","633.78"
"2010-12-03 19:12:00","0.23","0.205","0.2589","0.205","0.251","6673.4"
"2010-12-04 19:12:00","0.21","0.19","0.235","0.19","0.205","1178.03"
"2010-12-05 19:12:00","0.2","0.204","0.225","0.1841","0.19","863.02"
"2010-12-06 19:12:00","0.22","0.233","0.2477","0.1701","0.204","5411.8"
